ticker,yahoo_symbol,action_date,cash_dividend_per_share,split_factor
LIDER,LIDER.IS,2025-12-11,0.02852,0.0
LIDER,LIDER.IS,2026-05-06,0.035651,0.0
LIDER,LIDER.IS,2026-07-08,0.035651,0.0
LMKDC,LMKDC.IS,2025-05-15,1.0,0.0
LMKDC,LMKDC.IS,2026-06-02,2.0,0.0
LOGO,LOGO.IS,2021-04-19,0.3,0.0
LOGO,LOGO.IS,2022-05-16,0.9,0.0
LOGO,LOGO.IS,2023-05-24,1.5,0.0
LOGO,LOGO.IS,2024-06-12,4.0,0.0
LOGO,LOGO.IS,2025-06-12,5.263158,0.0
LOGO,LOGO.IS,2026-06-15,5.263158,0.0
MAGEN,MAGEN.IS,2022-08-10,0.018831,0.0
MAGEN,MAGEN.IS,2023-04-12,0.002702,0.0
MAVI,MAVI.IS,2021-07-30,0.038196,0.0
MAVI,MAVI.IS,2022-08-16,0.151576,0.0
MAVI,MAVI.IS,2023-05-10,0.540527,0.0
MAVI,MAVI.IS,2024-05-06,1.063476,0.0
MAVI,MAVI.IS,2025-05-26,1.17202,0.0
MAVI,MAVI.IS,2026-05-06,1.673042,0.0
MGROS,MGROS.IS,2023-05-30,2.606954,0.0
MGROS,MGROS.IS,2024-05-27,6.904009,0.0
MGROS,MGROS.IS,2024-11-13,2.872068,0.0
