ticker,m3,ek4,ek9
SANFM,0.4477195788892638,0.31953360200583547,0.4827987384392568
SANKO,0.3868370816054762,0.7357245592518156,
SARAE,,0.6033937191348672,
SARKY,0.0,0.1689124862009063,0.5325553429863088
SASA,0.44981729438544643,1.0,
SAYAS,0.3448075751597019,0.35293042221122795,0.39793413610115347
SDTTR,0.2636923227589651,0.6544841756181964,0.4601628030041188
SEGMN,0.0,0.0,0.3435482994532828
SEKUR,0.1983232937414476,0.11667003043482352,0.13347863040659536
SELEC,1.0,0.8332634801196596,0.1699902807993734
SELVA,0.0,0.13338432247711793,
SERNT,0.014239720536637288,0.6140129393681522,0.4696562268148915
SEYKM,0.2221582124701763,0.2990974397995853,
SILVR,0.021456792870031827,0.3882620263485452,
SKTAS,0.0,0.423352760164702,
SKYLP,0.0,0.0,
SMART,0.0,0.6303978593793167,
SMRTG,0.0,0.1772209704532461,
SNICA,0.0,0.3970004247442367,
SOHOE,,0.6456570487975345,
SOKE,0.0,0.0,
SOKM,1.0,0.7398933482921403,
SONME,0.5358410657609289,0.25654875293400864,
SSAAT,,0.15044708753682648,
SUNTK,0.41070993869002714,0.0,0.14679523358365976
SUWEN,0.4955736041044998,0.8751708209309748,
TABGD,0.34989018160024726,0.32860859923655433,0.5871527138054851
TARKM,0.31583415370030665,0.9288358322603786,
TATEN,0.0,0.08733336002127515,
TATGD,0.27622020255639146,0.4346357067888702,
TBORG,0.6036824824257362,0.3418698448228631,0.5942438413283218
TCELL,0.3460504489023869,0.47144560964242616,
TCKRC,0.2777917765042341,0.0,0.35373923948195873
TEKTU,0.0,0.41917262910918,
TEZOL,0.0,0.15242091510905012,
TGSAS,0.8200401303740201,0.529484748030791,
THYAO,0.35373685094425567,0.44360750901090135,0.7197342607989883
TKNKA,,,
TKNSA,0.09893479796960689,0.0,
TLMAN,0.0,0.4529245302763991,
TMPOL,0.0,0.0,
TMSN,0.0,0.33155859906175017,
TNZTP,1.0,0.9926770092305829,0.5790421423810086
TOASO,0.23222791626740807,0.6754350626633228,0.6273985406312074
TRALT,0.528923524464312,0.6496799833185958,0.4296148008938324
TRENJ,0.7682651461312131,0.7898295333211298,
TRILC,0.0,0.19715727456388513,
TRMET,0.7371820060854645,0.6178347547798869,0.4217423204825512
TSPOR,0.753213831394676,0.3158497365853206,
TTKOM,0.3279103115947846,0.6240174569406951,0.5902605394189057
TTRAK,0.41975897554298097,0.52446838613261,0.7743508981205351
TUCLK,0.24618066130861005,0.3606904182640767,0.7032693423370211
TUKAS,0.11288857794204174,0.5369524194764848,0.7704370897877321
TUPRS,1.0,0.7562343315234095,0.5626506085543854
TUREX,0.0,0.27412690364250186,0.5851024337179774
TURGG,0.2689720754026602,0.5597575402248648,0.5697327351465473
UCAYM,0.0,0.0,0.5467884480501284
ULAS,0.03204602556387645,0.4546755249327129,
ULKER,0.06546247241935109,0.43467378176439514,0.6882169781074607
ULUSE,0.0,0.0,
ULUUN,0.15093405076002972,0.3095786076810704,0.47859218551483707
USAK,0.0,0.3375909824838939,
VAKKO,0.2016549343530176,0.5742500705649504,0.6848794856506211
VANGD,0.0,0.22249948079919993,0.5201910171467123
VBTYZ,0.8361597517664855,0.9621883109949667,0.441310224238864
VESBE,0.2417468716865777,0.6323988724007807,
VESTL,0.5694810760443582,0.8940936866982686,
VEYAS,,,
VKING,0.0,0.34219929788887615,
VSNMD,0.0,0.0,0.4543046726333576
YAPRK,0.0,0.3235627345657092,0.5787625133982357
YATAS,0.0,0.19450780726065695,0.6348787521697614
YAYLA,0.15798031319094358,0.37109291690958374,
YEOTK,0.0,0.24855058285013623,0.3517224137743189
YIGIT,0.13933110387528064,0.530071436769461,0.6748634581405604
YKSLN,1.0,1.0,0.34894105886251703
YUNSA,0.0,0.08221476935433028,0.6707832086452159
YYLGD,0.15650952207515492,0.3952288554137924,0.7306572372232372
ZEDUR,0.0,0.37670567080284834,
ZOREN,0.2958984515233444,0.8829793559490482,
