month,signal_date,index_code,ticker,status,reason,source_audit
2025-12,2025-12-01,XU100,FENER,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,FROTO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,GARAN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,GENIL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,GESAN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,GLRMK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,GRSEL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,GRTHO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,GSRAY,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,GUBRF,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,HALKB,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,HEKTS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,IEYHO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,ISCTR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,ISMEN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,KCAER,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,KCHOL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,KONTR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,KRDMD,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,KTLEV,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,KUYAS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,MAGEN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,MAVI,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,MGROS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,MIATK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,MPARK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,OBAMS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,ODAS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,OTKAR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,OYAKC,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,PASEU,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,PATEK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,PETKM,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,PGSUS,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,RALYH,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,REEDR,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,SAHOL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,SASA,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,SISE,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,SKBNK,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,SOKM,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TABGD,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TAVHL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TCELL,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,THYAO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TKFEN,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
2025-12,2025-12-01,XU100,TOASO,REJECTED_AT_SOURCE_PREFLIGHT,ORIGINAL_FINANCIAL_CATALOG_BYTES_MISSING,source_inventory.json
