ticker,date,kind,value
KTSKR,2023-12-26,DIVIDEND,2.173913
KTSKR,2025-12-29,DIVIDEND,6.521739
KUYAS,2024-11-27,SPLIT,4.0
KZBGY,2025-01-07,SPLIT,4.0
KZBGY,2026-02-17,SPLIT,3.3333334000000003
LIDER,2023-07-12,DIVIDEND,0.018182
LIDER,2024-06-24,DIVIDEND,0.025
LIDER,2024-08-16,DIVIDEND,0.025
LIDER,2024-10-22,DIVIDEND,0.025
LIDER,2024-12-10,DIVIDEND,0.025
LIDER,2025-04-11,DIVIDEND,0.02852
LIDER,2025-06-12,DIVIDEND,0.02852
LIDER,2025-08-13,DIVIDEND,0.02852
LIDER,2025-10-13,DIVIDEND,0.02852
LIDER,2025-12-11,DIVIDEND,0.02852
LIDER,2026-05-06,DIVIDEND,0.035651
LIDER,2026-07-08,DIVIDEND,0.035651
LIDER,2026-09-08,DIVIDEND,0.035651
LIDER,2023-12-08,SPLIT,2.5
LIDER,2025-10-15,SPLIT,5.0
LILAK,2024-08-01,DIVIDEND,0.305508
LILAK,2025-07-01,DIVIDEND,1.500007
LILAK,2026-07-06,DIVIDEND,1.525466
LINK,2026-03-16,SPLIT,41.0
LKMNH,2023-09-29,DIVIDEND,0.038194
LKMNH,2023-11-30,DIVIDEND,0.038194
LKMNH,2024-05-07,DIVIDEND,0.115741
LKMNH,2024-07-22,DIVIDEND,0.115741
LKMNH,2025-05-26,DIVIDEND,0.208333
